scenario,tot_stock_C,tot_stock_E,tot_stock_N,tot_stock_P,tot_stock_S
CH1SP0SE1WE0BP1RE0CO0DI0WO0CS0,174767926,2909517,23379970,23729292,637879
CH1SP0SE1WE1BP1RE0CO1DI1WO0CS0,168810411,4751994,21282117,29724303,855759
CH0SP1SE0WE0BP0RE1CO0DI0WO1CS0,168482143,3241923,16068263,36439729,1192526
CH1SP1SE0WE0BP1RE0CO0DI1WO1CS0,166395364,4914633,17086390,35979160,1049037
CH1SP0SE1WE0BP0RE1CO0DI1WO0CS1,164497439,6695427,18130586,34004584,2096548
CH1SP0SE1WE0BP0RE1CO0DI0WO1CS1,168923942,8684396,18709735,26723868,2382643
CH1SP0SE1WE0BP0RE1CO0DI1WO0CS0,164803112,6777988,18014176,34441054,1388254
CH0SP0SE1WE0BP1RE1CO0DI1WO1CS0,165238638,5232624,20330197,33274039,1349086
CH0SP0SE1WE1BP1RE0CO0DI0WO0CS0,175549318,1732023,23656066,23798411,688766
CH0SP1SE0WE0BP1RE1CO0DI1WO1CS0,161822269,3468590,17016461,42106642,1010622
CH0SP1SE0WE1BP0RE1CO1DI0WO0CS1,167122341,1826704,16318664,38477271,1679604
CH1SP0SE1WE0BP1RE1CO1DI0WO0CS1,167811567,5903839,22628687,26417700,2662791
CH1SP0SE0WE0BP1RE1CO0DI0WO1CS1,169082543,7175493,22554993,24738295,1873260
CH1SP0SE0WE0BP1RE0CO0DI1WO0CS0,170480465,3442946,21451252,29092650,957271
CH0SP0SE0WE0BP1RE0CO1DI0WO1CS0,173195148,3568300,23394555,24313051,953530
CH0SP0SE0WE1BP0RE0CO0DI0WO0CS1,175646251,1576452,20403640,26036584,1761657
CH0SP1SE1WE0BP1RE1CO0DI0WO1CS1,168002490,3478644,19037379,32711437,2194634
CH0SP1SE1WE0BP1RE0CO1DI1WO0CS0,165384559,1941135,17450054,39727981,920855
CH0SP1SE0WE1BP1RE0CO0DI0WO1CS1,172840115,1868576,19567788,30035411,1112694
CH1SP0SE1WE0BP0RE0CO0DI0WO1CS0,173822168,6300793,19091160,25180514,1029949
CH0SP1SE1WE0BP0RE0CO0DI1WO0CS1,167635149,1727116,15224884,39383411,1454024
CH0SP0SE1WE1BP0RE1CO1DI0WO0CS1,169952665,3311717,19967575,29554674,2637953
CH0SP1SE0WE0BP0RE0CO0DI0WO1CS1,172578117,2197913,16353169,32839338,1456047
CH0SP1SE0WE1BP0RE1CO0DI0WO1CS1,168856454,2787409,16167184,35705627,1907910
CH1SP0SE0WE0BP0RE0CO1DI0WO0CS0,173032062,3976613,20241647,27017288,1156974
