scenario,total_emissions
CH1SP0SE1WE0BP1RE0CO0DI0WO0CS0,2420929115546.3687
CH1SP0SE1WE1BP1RE0CO1DI1WO0CS0,2259758653773.046
CH0SP1SE0WE0BP0RE1CO0DI0WO1CS0,2402255847939.5605
CH1SP1SE0WE0BP1RE0CO0DI1WO1CS0,2384125581663.6855
CH1SP0SE1WE0BP0RE1CO0DI1WO0CS1,2376111774273.5146
CH1SP0SE1WE0BP0RE1CO0DI0WO1CS1,2407532177571.165
CH1SP0SE1WE0BP0RE1CO0DI1WO0CS0,2374769778949.246
CH0SP0SE1WE0BP1RE1CO0DI1WO1CS0,2364649438714.717
CH0SP0SE1WE1BP1RE0CO0DI0WO0CS0,2275303191891.992
CH0SP1SE0WE0BP1RE1CO0DI1WO1CS0,2346059030170.12
CH0SP1SE0WE1BP0RE1CO1DI0WO0CS1,2269253237147.5137
CH1SP0SE1WE0BP1RE1CO1DI0WO0CS1,2380661741157.312
CH1SP0SE0WE0BP1RE1CO0DI0WO1CS1,2388926299694.9883
CH1SP0SE0WE0BP1RE0CO0DI1WO0CS0,2400172860232.162
CH0SP0SE0WE0BP1RE0CO1DI0WO1CS0,2404614228535.38
CH0SP0SE0WE1BP0RE0CO0DI0WO0CS1,2294041735703.8047
CH0SP1SE1WE0BP1RE1CO0DI0WO1CS1,2392753125474.4336
CH0SP1SE1WE0BP1RE0CO1DI1WO0CS0,2366342761574.5063
CH0SP1SE0WE1BP1RE0CO0DI0WO1CS1,2274603204855.1357
CH1SP0SE1WE0BP0RE0CO0DI0WO1CS0,2435638421366.5356
CH0SP1SE1WE0BP0RE0CO0DI1WO0CS1,2402097303288.1885
CH0SP0SE1WE1BP0RE1CO1DI0WO0CS1,2283800529485.7104
CH0SP1SE0WE0BP0RE0CO0DI0WO1CS1,2435212023858.658
CH0SP1SE0WE1BP0RE1CO0DI0WO1CS1,2269984819911.7983
CH1SP0SE0WE0BP0RE0CO1DI0WO0CS0,2420115769905.2617
CH0SP1SE1WE1BP0RE1CO1DI0WO1CS0,2268636478924.4375
CH0SP0SE1WE0BP0RE0CO0DI0WO0CS0,2441178308840.881
CH0SP1SE0WE1BP0RE0CO0DI0WO1CS1,2288424896479.0146
CH1SP0SE1WE0BP1RE1CO0DI0WO0CS1,2399733335706.95
CH0SP0SE1WE1BP0RE0CO0DI0WO0CS0,2292608014522.049
CH1SP1SE0WE0BP1RE1CO0DI0WO1CS0,2380810925283.5073
CH1SP0SE0WE0BP0RE1CO0DI0WO1CS1,2407384733479.96
CH0SP0SE1WE1BP1RE0CO1DI1WO0CS0,2263242275447.419
CH1SP0SE1WE1BP0RE1CO0DI1WO0CS1,2248448054150.817
CH1SP1SE0WE0BP0RE1CO0DI1WO0CS1,2359940946529.535
CH0SP1SE1WE0BP0RE1CO0DI0WO1CS0,2403112075419.648
CH1SP0SE1WE0BP1RE0CO1DI1WO0CS0,2378034892907.016
CH0SP0SE0WE1BP0RE1CO1DI0WO0CS1,2281562134477.8687
CH0SP0SE0WE1BP1RE0CO0DI0WO0CS1,2278758115834.7104
CH1SP0SE1WE0BP0RE0CO0DI0WO0CS1,2441840713798.3545
CH0SP1SE0WE1BP1RE0CO1DI1WO0CS0,2248669799743.235
CH0SP0SE0WE1BP0RE1CO1DI0WO1CS0,2278195029961.3213
CH0SP0SE0WE1BP0RE0CO0DI1WO0CS1,2274033348943.1123
CH0SP0SE1WE0BP0RE1CO0DI0WO0CS1,2419208935193.6133
CH1SP0SE1WE0BP1RE1CO0DI1WO0CS1,2367684578587.252
CH0SP1SE0WE0BP1RE0CO1DI0WO1CS0,2398433117449.4727
CH1SP0SE1WE1BP0RE0CO0DI0WO0CS0,2290298802635.8657
CH1SP0SE0WE1BP0RE1CO0DI0WO0CS0,2271696748658.832
CH0SP0SE0WE0BP0RE0CO0DI1WO0CS0,2415870120691.9004
CH0SP0SE1WE0BP0RE0CO1DI0WO1CS0,2425880537324.008
CH0SP0SE1WE1BP1RE0CO0DI0WO1CS1,2276434295277.7417
CH1SP1SE0WE0BP0RE0CO1DI0WO1CS0,2406325005577.55
CH0SP0SE1WE0BP0RE0CO1DI1WO0CS0,2395225700873.3423
CH0SP1SE0WE0BP1RE0CO0DI0WO1CS0,2417917527427.424
CH0SP0SE0WE1BP0RE0CO0DI0WO1CS0,2290584035574.4243
CH1SP1SE0WE0BP0RE0CO0DI1WO1CS0,2392055402581.553
CH1SP1SE0WE1BP0RE1CO0DI1WO1CS0,2231621549785.756
CH0SP1SE1WE0BP0RE1CO1DI0WO1CS0,2383046969892.749
CH0SP0SE0WE1BP1RE0CO1DI0WO1CS0,2280067512445.9805
CH0SP1SE1WE0BP1RE1CO0DI1WO0CS1,2352627931016.5986
CH1SP0SE0WE1BP1RE0CO0DI0WO0CS1,2276976962755.9556
CH0SP1SE1WE0BP1RE1CO1DI0WO0CS0,2371963893361.6465
CH0SP0SE1WE0BP0RE1CO0DI0WO1CS1,2418492289607.829
CH0SP0SE0WE0BP1RE0CO0DI1WO1CS0,2404035454110.571
CH0SP0SE0WE1BP0RE1CO0DI0WO0CS1,2278694125972.3066
CH1SP0SE0WE0BP1RE0CO1DI0WO1CS0,2395892617287.3213
CH1SP0SE0WE1BP1RE0CO0DI1WO0CS0,2258205061033.757
CH0SP1SE1WE1BP0RE1CO0DI0WO0CS1,2272108343372.246
CH0SP0SE1WE0BP1RE0CO0DI0WO1CS1,2427439150816.69
CH1SP1SE0WE1BP0RE0CO0DI1WO1CS0,2258806409778.5107
CH0SP0SE1WE0BP1RE1CO1DI0WO0CS1,2387973117389.3354
CH0SP1SE1WE1BP0RE1CO1DI0WO0CS1,2271380383408.864
CH1SP0SE0WE1BP0RE0CO1DI0WO0CS1,2295221223627.421
CH0SP0SE0WE0BP0RE0CO1DI0WO0CS1,2426078786352.9756
CH1SP0SE1WE1BP0RE0CO1DI0WO0CS1,2296247714130.572
CH0SP0SE0WE0BP1RE1CO0DI1WO0CS1,2368283794360.079
CH1SP1SE0WE1BP0RE1CO0DI0WO1CS0,2262512489321.3535
CH1SP0SE0WE0BP1RE1CO0DI0WO0CS1,2395545682762.162
CH0SP1SE0WE0BP0RE1CO1DI0WO0CS0,2383849828557.6104
CH0SP0SE1WE0BP1RE0CO1DI1WO0CS0,2385209093858.248
CH1SP0SE0WE0BP0RE0CO0DI0WO1CS0,2435290673583.583
CH1SP1SE0WE0BP1RE1CO0DI1WO0CS0,2346761667827.962
CH1SP0SE0WE1BP0RE0CO0DI1WO0CS1,2270302335156.963
CH1SP0SE0WE0BP0RE1CO0DI0WO0CS1,2415292635145.1606
CH0SP1SE0WE0BP1RE0CO0DI1WO1CS0,2390335462073.4907
CH0SP0SE1WE0BP0RE1CO1DI0WO0CS1,2404437875194.6924
CH1SP0SE1WE0BP0RE0CO1DI0WO1CS0,2414435419701.15
CH1SP0SE0WE1BP0RE0CO0DI0WO1CS0,2287031316176.24
CH0SP1SE1WE0BP1RE0CO0DI1WO0CS1,2394626234929.54
CH1SP1SE0WE1BP0RE1CO0DI1WO0CS0,2233565504946.557
CH0SP1SE1WE1BP0RE0CO1DI0WO1CS0,2288609045691.938
CH1SP0SE0WE0BP0RE0CO1DI1WO0CS0,2387946986709.6426
CH0SP0SE0WE0BP0RE1CO0DI0WO0CS1,2419198779326.3154
CH1SP1SE0WE0BP0RE0CO0DI0WO1CS0,2427167164104.877
CH0SP1SE0WE1BP0RE1CO1DI1WO0CS0,2227884035304.108
CH0SP1SE1WE1BP0RE0CO1DI1WO0CS0,2256251481237.1743
CH0SP0SE0WE0BP0RE0CO0DI0WO0CS0,2442890925612.098
CH1SP0SE1WE1BP0RE0CO0DI0WO0CS1,2291764841766.6104
CH1SP0SE0WE0BP0RE1CO1DI0WO0CS0,2391726411735.409
CH0SP1SE0WE1BP1RE0CO1DI0WO0CS0,2275883739678.5293
CH1SP1SE0WE1BP0RE0CO1DI0WO0CS1,2288919526532.679
CH0SP1SE1WE0BP0RE1CO0DI1WO0CS1,2364049345348.866
CH1SP0SE1WE1BP0RE0CO1DI0WO1CS0,2288928422554.663
CH0SP1SE0WE1BP0RE0CO1DI0WO0CS0,2289616251986.5254
CH1SP0SE1WE0BP0RE0CO1DI0WO0CS1,2422077283729.295
CH1SP1SE0WE0BP1RE1CO1DI0WO0CS1,2369905027049.128
CH0SP0SE0WE1BP0RE0CO1DI0WO0CS0,2298207257745.7847
CH0SP1SE0WE1BP0RE0CO1DI0WO0CS1,2290301001844.537
CH1SP1SE0WE0BP1RE1CO0DI0WO0CS0,2385835028889.4326
CH0SP0SE1WE1BP0RE1CO1DI0WO1CS0,2280261069416.3823
CH0SP0SE0WE1BP0RE1CO0DI1WO1CS0,2243494514568.5703
CH0SP1SE0WE0BP1RE1CO0DI1WO0CS0,2349237317726.008
CH0SP1SE0WE1BP1RE0CO1DI0WO0CS1,2277112574949.087
CH1SP0SE0WE1BP0RE1CO1DI0WO0CS1,2277957165339.1616
CH1SP1SE0WE0BP0RE0CO0DI0WO0CS1,2432294711085.3916
CH1SP0SE1WE1BP0RE1CO0DI1WO0CS0,2245419117456.161
CH1SP1SE0WE1BP0RE0CO0DI1WO0CS0,2262957668119.2744
CH0SP1SE0WE0BP1RE1CO0DI0WO0CS0,2391298891780.1597
CH0SP1SE0WE0BP0RE0CO1DI0WO0CS1,2415724539243.4775
CH0SP0SE1WE1BP0RE1CO0DI1WO0CS1,2247913478693.619
CH1SP1SE0WE1BP0RE1CO0DI0WO0CS1,2269760535199.902
CH0SP1SE0WE0BP1RE0CO1DI0WO0CS1,2401096313845.9287
CH1SP1SE0WE1BP0RE0CO0DI0WO1CS1,2285874315651.101
CH1SP0SE0WE1BP1RE0CO0DI0WO0CS0,2273488253240.3325
CH0SP1SE0WE0BP0RE1CO1DI0WO0CS1,2386312408806.159
CH1SP1SE0WE1BP0RE1CO0DI0WO1CS1,2263457054863.549
CH1SP0SE0WE0BP1RE1CO0DI1WO0CS1,2365934277477.449
CH0SP0SE0WE0BP0RE0CO0DI0WO0CS1,2442432073999.9062
CH0SP0SE1WE1BP0RE0CO0DI0WO0CS1,2294569206794.691
CH0SP0SE1WE0BP1RE0CO0DI1WO1CS0,2406027944602.12
CH0SP1SE0WE0BP1RE0CO1DI1WO0CS0,2366026109773.6016
CH1SP0SE1WE0BP1RE1CO1DI0WO1CS0,2368779757637.8013
CH1SP0SE0WE1BP0RE0CO0DI0WO0CS0,2291069629339.628
CH0SP1SE1WE1BP0RE0CO0DI1WO1CS0,2261678458061.3496
CH1SP1SE0WE1BP0RE0CO1DI1WO0CS0,2255221578619.0186
CH0SP1SE0WE1BP0RE0CO0DI1WO0CS0,2262202894747.5884
CH1SP0SE1WE1BP1RE0CO0DI1WO0CS0,2259397029047.0913
CH0SP0SE1WE0BP1RE0CO0DI1WO0CS1,2405626549990.737
CH1SP0SE0WE0BP0RE1CO1DI0WO0CS1,2394684673405.7637
