,stock_C,stock_E,stock_N,stock_P,stock_S,total_emissions
CH0SP0SE0WE0BP0RE0CO0DI0WO0CS0,110316117.0,1580696.0,12936938.0,13483558.0,1231243.0,1409587851763.8406
CH0SP0SE0WE0BP0RE0CO0DI0WO0CS1,109870629.0,1617640.0,12918444.0,13312396.0,1829443.0,1409943962596.7568
CH0SP0SE0WE0BP0RE0CO0DI0WO1CS0,109895224.0,3173387.0,12438540.0,13082043.0,959358.0,1408021517249.9077
CH0SP0SE0WE0BP0RE0CO0DI0WO1CS1,109450141.0,2962202.0,12396586.0,12792877.0,1946746.0,1410312304010.0151
CH0SP0SE0WE0BP0RE0CO0DI1WO0CS0,106228779.0,2143874.0,11804095.0,18080633.0,1291171.0,1385397253214.4014
CH0SP0SE0WE0BP0RE0CO0DI1WO0CS1,105923922.0,2081834.0,11838541.0,18137799.0,1566456.0,1384271737531.7935
CH0SP0SE0WE0BP0RE0CO0DI1WO1CS0,105887089.0,3647437.0,11336490.0,17601625.0,1075911.0,1383665790490.9456
CH0SP0SE0WE0BP0RE0CO1DI0WO0CS0,108703318.0,2023520.0,13051426.0,14557550.0,1212738.0,1392098751077.7502
CH0SP0SE0WE0BP0RE0CO1DI0WO0CS1,107999875.0,2023821.0,13043338.0,14337164.0,2144354.0,1393076227662.3042
CH0SP0SE0WE0BP0RE0CO1DI0WO1CS0,107930726.0,4015354.0,12483750.0,13836656.0,1282066.0,1390039749083.9902
CH0SP0SE0WE0BP0RE0CO1DI1WO0CS0,104124383.0,2464689.0,11929584.0,19875895.0,1154001.0,1363249139915.827
CH0SP0SE0WE0BP0RE1CO0DI0WO0CS0,106341561.0,2454353.0,12688318.0,16331256.0,1733064.0,1382839908546.523
CH0SP0SE0WE0BP0RE1CO0DI0WO0CS1,105608948.0,2462493.0,12583815.0,15784888.0,3108408.0,1386497514705.5593
CH0SP0SE0WE0BP0RE1CO0DI0WO1CS0,105870624.0,4161789.0,12131447.0,15734400.0,1650292.0,1381571952886.9531
CH0SP0SE0WE0BP0RE1CO0DI0WO1CS1,105106536.0,4028783.0,12078747.0,15229747.0,3104739.0,1385158277077.4072
CH0SP0SE0WE0BP0RE1CO0DI1WO0CS0,100708287.0,2831675.0,11516140.0,22998214.0,1494236.0,1343862678913.4182
CH0SP0SE0WE0BP0RE1CO0DI1WO0CS1,100415151.0,2812330.0,11459559.0,22093579.0,2767933.0,1349794396309.0288
CH0SP0SE0WE0BP0RE1CO0DI1WO1CS0,100244345.0,4843520.0,10919654.0,22334379.0,1206654.0,1342053461114.4312
